Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |
|GRB090428552|00 03 12.0|+11 30 00|2009-04-28 13:15:11.055|
|GRB090429530|17 20 00.0|+54 18 00|2009-04-29 12:43:25.700|
|GRB090429753|08 20 50.4|+06 12 00|2009-04-29 18:03:57.512|
|GRB090502777|17 51 12.0|-20 18 00|2009-05-02 18:39:34.648|
|GRB090509215|16 05 36.0|-28 24 00|2009-05-09 05:10:05.716|
|GRB090510016|22 14 24.0|-26 36 00|2009-05-10 00:22:59.971|
|GRB090510325|17 57 36.0|-57 54 00|2009-05-10 07:47:39.512|
|GRB090511684|10 47 36.0|+51 18 00|2009-05-11 16:25:16.372|
|GRB090513916|17 59 12.0|-31 36 00|2009-05-13 21:58:47.920|
|GRB090513941|06 36 24.0|-72 54 00|2009-05-13 22:35:35.340|
|GRB090514006|00 49 12.0|-10 54 00|2009-05-14 00:08:39.157|
|GRB090514726|20 17 16.0|-24 24 00|2009-05-14 17:26:07.332|
|GRB090514734|21 04 08.0|-43 58 00|2009-05-14 17:36:55.293|
|GRB090516137|08 08 48.0|-71 37 12|2009-05-16 03:17:20.169|
|GRB090516353|09 13 02.4|-11 51 00|2009-05-16 08:27:58.348|
|GRB090516853|01 02 48.0|-13 42 00|2009-05-16 20:28:40.047|
|GRB090518080|07 59 48.0|+00 45 00|2009-05-18 01:54:44.517|
|GRB090518244|14 04 48.0|-16 42 00|2009-05-18 05:51:04.669|
|GRB090519462|07 03 36.0|-56 42 00|2009-05-19 11:05:27.545|
|GRB090519881|09 29 07.2|+00 10 48|2009-05-19 21:08:45.873|
|GRB090520832|22 08 00.0|+43 12 00|2009-05-20 19:57:53.976|
|GRB090520850|07 24 48.0|-19 42 00|2009-05-20 20:23:19.308|
|GRB090520876|08 45 12.0|-18 00 00|2009-05-20 21:01:37.145|
|GRB090522344|18 30 48.0|+19 36 00|2009-05-22 08:15:49.326|
|GRB090524346|21 58 00.0|-67 24 00|2009-05-24 08:17:56.234|
|GRB090528173|08 59 36.0|-35 48 00|2009-05-28 04:09:01.141|
|GRB090528516|20 48 48.0|+32 42 00|2009-05-28 12:22:31.286|
|GRB090529310|15 24 48.0|+32 12 00|2009-05-29 07:26:22.411|
|GRB090529564|10 50 48.0|+47 18 00|2009-05-29 13:32:00.488|
|GRB090530760|04 52 48.0|+13 48 00|2009-05-30 18:14:24.434|
|GRB090531775|16 48 14.4|-36 03 00|2009-05-31 18:35:56.492|
|GRB090602564|16 35 45.6|-65 01 12|2009-06-02 13:32:22.854|
|GRB090606471|09 47 45.6|-70 29 24|2009-06-06 11:18:08.003|
|GRB090608052|06 40 45.6|-37 24 36|2009-06-08 01:15:26.598|
|GRB090610648|05 36 48.0|+35 25 12|2009-06-10 15:33:25.936|
|GRB090610723|18 23 57.6|-42 05 24|2009-06-10 17:21:31.905|
|GRB090610883|04 41 28.8|+30 18 00|2009-06-10 21:12:07.734|
|GRB090612619|05 24 07.2|+17 42 36|2009-06-12 14:50:50.494|
|GRB090616157|06 52 16.8|-03 42 36|2009-06-16 03:45:42.532|
|GRB090617208|05 15 33.6|+15 39 00|2009-06-17 04:59:58.576|
|GRB090618353|19 35 57.6|+78 21 27|2009-06-18 08:28:26.659|
|GRB090620400|15 49 24.0|+61 09 00|2009-06-20 09:36:23.468|
|GRB090620901|16 05 31.2|-43 01 12|2009-06-20 21:37:35.751|
|GRB090621185|00 44 04.8|+61 56 28|2009-06-21 04:26:34.488|
|GRB090621417|17 09 57.6|-28 27 36|2009-06-21 10:00:52.096|
|GRB090621447|00 49 04.8|-22 34 48|2009-06-21 10:43:45.145|
|GRB090621922|20 53 43.7|+69 00 47|2009-06-21 22:07:25.701|
|GRB090623107|20 36 00.0|-43 14 24|2009-06-23 02:34:17.562|
|GRB090623913|02 46 48.0|+01 48 00|2009-06-23 21:54:25.113|
|GRB090625234|01 21 09.6|-06 25 48|2009-06-25 05:37:00.209|
|GRB090625560|00 09 02.8|-65 46 49|2009-06-25 13:26:22.514|
|GRB090626189|11 20 02.4|-33 30 00|2009-06-26 04:32:08.880|
|GRB090626707|09 05 45.6|+14 26 24|2009-06-26 16:58:45.464|
|GRB090629543|00 33 55.2|+17 40 12|2009-06-29 13:01:21.783|
|GRB090630311|09 46 12.0|-46 34 48|2009-06-30 07:27:21.166|
|GRB090701225|07 38 45.6|-42 04 12|2009-07-01 05:23:55.844|
|GRB090703329|00 03 04.8|+09 40 48|2009-07-03 07:54:02.477|
|GRB090704242|13 52 49.2|+22 47 24|2009-07-04 05:47:48.185|
|GRB090704783|19 45 24.0|+25 52 48|2009-07-04 18:47:00.622|
|GRB090706283|13 40 16.8|-47 04 12|2009-07-06 06:47:40.428|
|GRB090708152|10 18 31.0|+26 38 13|2009-07-08 03:38:18.457|
|GRB090709630|06 14 22.3|+64 05 06|2009-07-09 15:07:41.137|
|GRB090711850|09 18 26.4|-64 44 24|2009-07-11 20:23:22.919|
|GRB090712160|04 40 23.3|+22 31 30|2009-07-12 03:51:00.341|
|GRB090713020|18 59 12.0|-03 19 48|2009-07-13 00:29:28.060|
|GRB090717034|06 09 38.4|-62 28 48|2009-07-17 00:49:32.108|
|GRB090717111|16 27 48.0|+22 58 12|2009-07-17 02:40:31.786|
|GRB090718720|16 15 02.4|-06 40 48|2009-07-18 17:16:42.933|
|GRB090718762|18 16 28.8|-36 23 24|2009-07-18 18:17:42.841|
|GRB090719063|22 45 04.8|-67 51 36|2009-07-19 01:31:26.612|
|GRB090720276|13 34 46.6|-10 20 06|2009-07-20 06:38:08.283|
|GRB090720710|13 32 00.0|-54 48 00|2009-07-20 17:02:56.905|
|GRB090725838|18 47 31.2|-69 29 24|2009-07-25 20:06:20.552|
|GRB090726218|16 01 48.0|+36 45 00|2009-07-26 05:14:07.069|
|GRB090730608|16 50 19.2|+30 27 36|2009-07-30 14:35:07.668|
|GRB090802235|05 37 19.2|+34 05 24|2009-08-02 05:39:03.082|
|GRB090802666|17 48 04.8|-71 46 12|2009-08-02 15:58:23.444|
|GRB090804940|08 41 36.0|-11 18 00|2009-08-04 22:33:20.019|
|GRB090805622|20 00 06.5|-50 50 41|2009-08-05 14:55:18.239|
|GRB090807832|21 47 36.0|+07 13 48|2009-08-07 19:57:59.017|
|GRB090809978|06 21 00.0|+00 09 36|2009-08-09 23:28:14.611|
|GRB090810659|11 15 43.2|-76 24 00|2009-08-10 15:49:07.822|
|GRB090810781|07 45 43.2|-17 28 48|2009-08-10 18:44:44.858|
|GRB090811696|18 28 12.0|+22 13 12|2009-08-11 16:41:50.038|
