theta,phi,require time (s),NN,NP,NT,NB,PN,PP,PT,PB
30.75,190.38,2515.43,2.024245663,3.876477697,6.922963452,3.699956194,0.048830186,0.054398356,0.067985015,0.054876783
31.45,222.84,1313.52,2.137947737,4.707181396,7.411455583,2.679654394,0.086649046,0.080696838,0.123207304,0.087410483
31.03,275.36,1062.73,3.946220846,3.648714145,7.445881322,3.403290724,0.098691961,0.089410777,0.169827299,0.087731289
30.61,327.88,534.01,4.493460371,2.432949543,7.414224078,3.014570024,0.22673857,0.172591136,0.204522286,0.185853908
30.89,52.87,552.57,0.163527193,0.183658145,0.256176661,0.198101514,4.535203211,2.307429399,7.422118535,2.622865813
32.26,117.79,664.05,0.17580387,0.185936746,0.318380478,0.242950246,2.571203537,4.672872248,7.356553771,2.788738937
31.86,170.31,641.61,0.989206062,1.117670349,0.235276009,0.135941615,1.955460531,3.630242468,6.774737469,2.875222499
32.13,255.3,1145.15,3.183641685,4.446574364,7.417190533,3.309750689,0.093992392,0.109365477,0.171667302,0.115685129
31.72,307.82,642.36,4.690184059,2.441452756,7.475844202,2.74262077,0.139839987,0.148314946,0.176682957,0.166056029
31.99,32.81,518.84,0.192345839,0.197204244,0.267549253,0.230742914,4.591373373,2.330545745,7.270917188,2.83050701
31.58,85.33,499.68,0.18383045,0.194367361,0.33753103,0.262023281,3.903246167,3.609783021,7.330191404,3.243716896
32.93,150.25,1234.06,0.094550973,0.091045547,0.153543612,0.096900005,2.256012121,4.690000413,7.176369133,2.813500131
32.53,202.78,2088.94,2.246001746,4.495125356,7.13399144,3.210256638,0.054753282,0.057908233,0.071672459,0.058095078
33.19,235.24,1118.19,2.378402249,4.914510923,7.369392098,2.671428451,0.098320179,0.093331632,0.162916765,0.095942257
32.79,287.76,994.49,4.491870879,3.2156079,7.401703863,3.26253258,0.091972863,0.099241732,0.131367026,0.099756848
33.45,320.22,482.53,4.872008764,2.423850164,7.366694636,2.679724888,0.176967098,0.179907702,0.214857925,0.214242841
32.66,65.27,573.21,0.159199378,0.196415646,0.307525393,0.214396062,4.571160652,2.78256681,7.342917935,2.870014755
33.32,97.73,533.64,0.186988453,0.199727103,0.342046473,0.261210899,3.519151171,4.234237435,7.233610535,3.206391404
33.97,130.19,677.88,0.153426442,0.154038204,0.276762564,0.207279536,2.208588651,4.949632608,7.262364831,2.395548075
34.22,215.18,1483.83,2.271735473,4.947506615,7.212759237,2.70142033,0.068585067,0.068026106,0.087181482,0.067749366
33.84,267.7,1366.29,3.851494259,4.166983477,7.259956799,3.322836087,0.066897248,0.064415494,0.087986203,0.065495682
34.47,300.16,638.25,4.916005118,2.75280973,7.341150819,2.845628124,0.134383148,0.142148272,0.172004823,0.166010581
33.71,45.21,489.66,0.186446376,0.20353418,0.288574652,0.237004024,4.831514351,2.207058459,7.278026252,2.446760995
34.35,77.67,509.81,0.189213314,0.195210465,0.342052948,0.262183971,4.392809659,3.448505551,7.193335772,3.080621788
34.98,110.13,551.73,0.183296658,0.196686142,0.336616199,0.250067222,3.004078506,4.778350952,7.228442317,2.942996814
34.6,162.65,1397.62,0.088317787,0.099459325,0.118370852,0.079619823,2.179168658,4.446166387,6.85605508,2.975285432
35.23,195.11,1971.89,2.171696557,4.467057546,6.824908476,3.465700995,0.058201334,0.115984117,0.072232087,0.06745895
34.85,247.64,889.36,2.940899955,4.917375191,7.281403196,3.077710983,0.111503251,0.11239012,0.20228393,0.1534604
34.73,25.14,474.36,0.503164445,0.244622635,0.293219753,0.25481346,4.717254528,2.406945827,7.080222964,3.121426312
35.47,280.1,1067.17,4.484284206,3.733437859,7.209520078,3.163678813,0.084950868,0.083503145,0.13367437,0.100357689
35.1,332.62,353.08,4.863941731,2.576759961,7.184205979,3.153014571,0.823607446,0.274965707,0.286354002,0.250116425
35.35,57.6,558.33,0.176615138,0.191164369,0.270828326,0.213323182,4.964324281,2.55105253,7.20181103,2.525405688
35.6,142.59,1120.97,0.10382506,0.097510541,0.165693567,0.104445269,2.246949707,5.069242437,7.123209407,2.423962985
35.84,227.57,1357.46,2.198727404,5.194304914,7.215789454,2.39078094,0.08128648,0.074802131,0.125628644,0.074850052
36.45,260.04,1286,3.65723466,4.686249228,7.150614585,3.043484419,0.072145656,0.069948407,0.092312928,0.070435279
36.09,312.56,465.32,5.154044976,2.414851386,7.252697444,2.443955771,0.184840369,0.187059676,0.224779169,0.237081473
36.33,37.54,439.34,0.213695963,0.227456829,0.314639821,0.271969109,5.087207683,2.356143287,7.109064667,2.446620744
35.97,90.07,463.35,0.178755748,0.189048331,0.330591084,0.24707463,4.043194942,4.124035149,7.060211503,2.886801791
36.57,122.53,667.66,0.168508071,0.177435247,0.303432663,0.230474612,2.484641517,5.165583489,7.12380779,2.461245738
37.17,154.99,1457.12,0.077392644,0.078751486,0.119321449,0.083790644,2.35538765,4.99699722,6.890861092,2.821300462
36.81,207.51,1775.14,2.372082301,5.054500907,6.991553075,2.912862729,0.06042416,0.065582041,0.076152031,0.063435977
37.4,239.97,1209.57,2.649010209,5.288810515,7.135920491,2.665104011,0.085423534,0.077101008,0.11335912,0.07536995
37.05,292.5,726.91,5.0103869,3.186120607,7.174480553,2.949307506,0.117953507,0.123759176,0.150018919,0.139900947
36.93,70,608.75,0.160651153,0.201845812,0.324027245,0.23298892,4.861691005,3.168121693,7.084372578,2.783878649
37.52,102.47,538.86,0.18028791,0.192276924,0.329905372,0.238799429,3.530828745,4.76089856,7.016855247,2.762913161
38.11,134.93,907.65,0.131151525,0.119303586,0.208801433,0.152303118,2.160992257,5.345261148,7.023059098,2.131535908
37.76,187.45,2056.51,1.953209765,4.295426116,6.443231104,3.51748807,0.056211785,0.060956563,0.076007396,0.066816364
38.34,219.91,1428.21,2.258617861,5.400664221,7.027576887,2.316551285,0.073200338,0.071031144,0.095344906,0.07058421
37.99,272.43,1194.93,4.36458405,4.263673886,7.016784746,2.822834074,0.075704739,0.069464627,0.086735515,0.079794496
